Publisher,ISSN,title,mode,APC,year
IOP,2053-1583,2D Materials,Hybrid,"$3,690",2023
IOP,2043-6262,Advances in Natural Sciences: Nanoscience and Nanotechnology*,Sub only,N/A,2023
IOP,1538-3881,The Astronomical Journal **,Fully open,N/A,2023
IOP,1538-4357,The Astrophysical Journal **,Fully open,N/A,2023
IOP,2041-8213,The Astrophysical Journal Letters**,Fully open,N/A,2023
IOP,1538-4365,The Astrophysical Supplement Series**,Fully open,N/A,2023
IOP,1758-5090,Biofabrication,Hybrid,"$3,690",2023
IOP,1748-3190,Bioinspiration & Biomimetics,Hybrid,"$3,075",2023
IOP,1748-605X,Biomedical Materials,Hybrid,"$3,075",2023
IOP,2057-1976,Biomedical Physics & Engineering Express,Hybrid,"$2,220",2023
IOP,2058-3834,Chinese Physics B*,Sub only,N/A,2023
IOP,2058-6132,Chinese Physics C****,Hybrid,"$2,230",2023
IOP,1741-3540,Chinese Physics Letters*,Sub only,N/A,2023
IOP,1361-6382,Classical and Quantum Gravity,Hybrid,"$3,075",2023
IOP,1572-9494,Communications in Theoretical Physics*,Sub only,N/A,2023
IOP,2754-2734,ECS Advances,Fully open,"$1,350",2023
IOP,2162-8777,ECS Journal of Solid State Science and Technology,Hybrid,"$1,785",2023
IOP,2151-2043,ECS Meeting Abstracts,Fully open,N/A,2023
IOP,2754-2726,ECS Sensors Plus,Fully open,"$1,350",2023
IOP,1938-5862,ECS Transactions*,Sub only,N/A,2023
IOP,2516-1075,Electronic Structure,Hybrid,"$3,075",2023
IOP,2631-8695,Engineering Research Express,Hybrid,"$2,220",2023
IOP,2752-5295,Environmental Research: Climate,Fully open,"$2,395",2023
IOP,2515-7620,Environmental Research Communications,Fully open,"$1,760",2023
IOP,2752-664X,Environmental Research: Ecology,Fully open,"$2,395",2023
IOP,2752-5309,Environmental Research: Health,Fully open,"$2,395",2023
IOP,2634-4505,Environmental Research: Infrastructure and Sustainability,Fully open,"$2,395",2023
IOP,1748-9326,Environmental Research Letters,Fully open,"$2,685",2023
IOP,1286-4854,EPL,Hybrid,"$1,750",2023
IOP,1361-6404,European Journal of Physics,Hybrid,"$3,075",2023
IOP,2058-8585,Flexible and Printed Electronics,Hybrid,"$3,075",2023
IOP,1873-7005,Fluid Dynamics Research,Hybrid,"$3,075",2023
IOP,2631-6331,Functional Composites and Structures,Hybrid,"$3,075",2023
